Time_abs/ps, Signal/nA
  2370.000,    -0.033457
  2370.050,    -0.026071
  2370.100,    -0.023842
  2370.150,    -0.017375
  2370.200,    -0.004843
  2370.250,    -0.000309
  2370.300,     0.002039
  2370.350,     0.013773
  2370.400,     0.004594
  2370.450,     0.005022
  2370.500,     0.006779
  2370.550,     0.008010
  2370.600,     0.005600
  2370.650,     0.006559
  2370.700,     0.008929
  2370.750,     0.007765
  2370.800,     0.006361
  2370.850,     0.008438
  2370.900,     0.011289
  2370.950,     0.010740
  2371.000,     0.006455
  2371.050,     0.010858
  2371.100,     0.026947
  2371.150,     0.035822
  2371.200,     0.043413
  2371.250,     0.048440
  2371.300,     0.052508
  2371.350,     0.059065
  2371.400,     0.078655
  2371.450,     0.078386
  2371.500,     0.084417
  2371.550,     0.090306
  2371.600,     0.101250
  2371.650,     0.110886
  2371.700,     0.102586
  2371.750,     0.109317
  2371.800,     0.109569
  2371.850,     0.105749
  2371.900,     0.112879
  2371.950,     0.109081
  2372.000,     0.108399
  2372.050,     0.111803
  2372.100,     0.116694
  2372.150,     0.108907
  2372.200,     0.103701
  2372.250,     0.105801
  2372.300,     0.100446
  2372.350,     0.104802
  2372.400,     0.108905
  2372.450,     0.106446
  2372.500,     0.105904
  2372.550,     0.108246
  2372.600,     0.111120
  2372.650,     0.111184
  2372.700,     0.124872
  2372.750,     0.132261
  2372.800,     0.134413
  2372.850,     0.133593
  2372.900,     0.135584
  2372.950,     0.129162
  2373.000,     0.120432
  2373.050,     0.122325
  2373.100,     0.122965
  2373.150,     0.113847
  2373.200,     0.121924
  2373.250,     0.120783
  2373.300,     0.121732
  2373.350,     0.111241
  2373.400,     0.119828
  2373.450,     0.124772
  2373.500,     0.121326
  2373.550,     0.128204
  2373.600,     0.132821
  2373.650,     0.133308
  2373.700,     0.122563
  2373.750,     0.117505
  2373.800,     0.122653
  2373.850,     0.119979
  2373.900,     0.123775
  2373.950,     0.120046
  2374.000,     0.126262
  2374.050,     0.129823
  2374.100,     0.139490
  2374.150,     0.142786
  2374.200,     0.139211
  2374.250,     0.141303
  2374.300,     0.132592
  2374.350,     0.128911
  2374.400,     0.125323
  2374.450,     0.125392
  2374.500,     0.113085
  2374.550,     0.113192
  2374.600,     0.103398
  2374.650,     0.097637
  2374.700,     0.089003
  2374.750,     0.072929
  2374.800,     0.061853
  2374.850,     0.057113
  2374.900,     0.051735
  2374.950,     0.040505
  2375.000,     0.037354
  2375.050,     0.008707
  2375.100,    -0.004264
  2375.150,    -0.019460
  2375.200,    -0.044685
  2375.250,    -0.064303
  2375.300,    -0.080287
  2375.350,    -0.108985
  2375.400,    -0.141847
  2375.450,    -0.172279
  2375.500,    -0.208899
  2375.550,    -0.242862
  2375.600,    -0.283350
