Time_abs/ps, Signal/nA
  2370.000,    -0.024643
  2370.050,    -0.017147
  2370.100,    -0.018177
  2370.150,    -0.008970
  2370.200,    -0.000680
  2370.250,    -0.002793
  2370.300,     0.001363
  2370.350,    -0.000219
  2370.400,     0.003894
  2370.450,     0.004325
  2370.500,     0.011416
  2370.550,     0.006212
  2370.600,    -0.001085
  2370.650,     0.005933
  2370.700,     0.005435
  2370.750,     0.008593
  2370.800,     0.010213
  2370.850,     0.008034
  2370.900,     0.008331
  2370.950,    -0.000036
  2371.000,    -0.006068
  2371.050,    -0.004280
  2371.100,    -0.002438
  2371.150,    -0.001442
  2371.200,    -0.004249
  2371.250,    -0.002998
  2371.300,    -0.007872
  2371.350,     0.001885
  2371.400,    -0.004190
  2371.450,     0.004038
  2371.500,     0.005028
  2371.550,     0.013043
  2371.600,     0.014373
  2371.650,     0.015348
  2371.700,     0.025193
  2371.750,     0.027285
  2371.800,     0.019453
  2371.850,     0.021769
  2371.900,     0.017410
  2371.950,     0.029369
  2372.000,     0.038715
  2372.050,     0.042086
  2372.100,     0.051128
  2372.150,     0.057817
  2372.200,     0.060374
  2372.250,     0.062477
  2372.300,     0.068538
  2372.350,     0.069514
  2372.400,     0.076387
  2372.450,     0.083162
  2372.500,     0.078592
  2372.550,     0.075015
  2372.600,     0.076288
  2372.650,     0.080384
  2372.700,     0.083577
  2372.750,     0.085463
  2372.800,     0.089074
  2372.850,     0.090776
  2372.900,     0.098887
  2372.950,     0.093844
  2373.000,     0.093220
  2373.050,     0.096552
  2373.100,     0.097272
  2373.150,     0.103086
  2373.200,     0.101248
  2373.250,     0.101016
  2373.300,     0.097577
  2373.350,     0.098815
  2373.400,     0.101046
  2373.450,     0.107185
  2373.500,     0.107598
  2373.550,     0.092571
  2373.600,     0.090314
  2373.650,     0.088068
  2373.700,     0.077419
  2373.750,     0.073113
  2373.800,     0.067405
  2373.850,     0.053798
  2373.900,     0.042038
  2373.950,     0.039554
  2374.000,     0.033075
  2374.050,     0.017961
  2374.100,     0.003143
  2374.150,    -0.002846
  2374.200,    -0.010615
  2374.250,    -0.022926
  2374.300,    -0.037495
  2374.350,    -0.041231
  2374.400,    -0.058548
  2374.450,    -0.066433
  2374.500,    -0.073530
  2374.550,    -0.082973
  2374.600,    -0.085714
  2374.650,    -0.092132
  2374.700,    -0.097062
  2374.750,    -0.086974
  2374.800,    -0.091663
  2374.850,    -0.094276
  2374.900,    -0.099673
  2374.950,    -0.111218
  2375.000,    -0.124993
  2375.050,    -0.150626
  2375.100,    -0.178111
  2375.150,    -0.215708
  2375.200,    -0.254950
  2375.250,    -0.307713
  2375.300,    -0.356814
  2375.350,    -0.413750
  2375.400,    -0.460506
  2375.450,    -0.511059
  2375.500,    -0.530012
  2375.550,    -0.505387
  2375.600,    -0.438405
  2375.650,    -0.300330
  2375.700,    -0.086161
  2375.750,     0.189349
  2375.800,     0.530163
  2375.850,     0.894373
  2375.900,     1.247731
  2375.950,     1.572929
  2376.000,     1.797729
  2376.050,     1.916598
  2376.100,     1.935684
  2376.150,     1.842964
  2376.200,     1.657562
  2376.250,     1.430822
  2376.300,     1.172187
  2376.350,     0.925803
  2376.400,     0.688020
  2376.450,     0.489328
  2376.500,     0.322799
  2376.550,     0.182787
  2376.600,     0.067789
  2376.650,    -0.019906
  2376.700,    -0.083628
  2376.750,    -0.126571
  2376.800,    -0.165962
  2376.850,    -0.199053
  2376.900,    -0.214455
  2376.950,    -0.231901
  2377.000,    -0.246639
  2377.050,    -0.263152
  2377.100,    -0.247081
  2377.150,    -0.210818
  2377.200,    -0.154555
  2377.250,    -0.072385
  2377.300,     0.029252
  2377.350,     0.121988
  2377.400,     0.198009
  2377.450,     0.234968
  2377.500,     0.226200
  2377.550,     0.172850
  2377.600,     0.078305
  2377.650,    -0.029121
  2377.700,    -0.133220
  2377.750,    -0.192259
  2377.800,    -0.206747
  2377.850,    -0.162992
  2377.900,    -0.061623
  2377.950,     0.079530
  2378.000,     0.239974
  2378.050,     0.372765
  2378.100,     0.481537
  2378.150,     0.547961
  2378.201,     0.581375
  2378.251,     0.580028
  2378.301,     0.567412
  2378.351,     0.538194
  2378.401,     0.527333
  2378.451,     0.515256
  2378.501,     0.510806
  2378.551,     0.518316
  2378.601,     0.520166
  2378.651,     0.533864
  2378.701,     0.564938
  2378.751,     0.607612
  2378.801,     0.657711
  2378.851,     0.719326
  2378.901,     0.772755
  2378.951,     0.840227
  2379.001,     0.901658
  2379.051,     0.967867
  2379.101,     1.035668
  2379.151,     1.092161
  2379.201,     1.141653
  2379.251,     1.176085
  2379.301,     1.198928
  2379.351,     1.214999
  2379.401,     1.218854
  2379.451,     1.208166
  2379.501,     1.203549
  2379.551,     1.222250
  2379.601,     1.259143
  2379.651,     1.341928
  2379.701,     1.466249
  2379.751,     1.627901
  2379.801,     1.819190
  2379.851,     2.046489
  2379.901,     2.259656
  2379.951,     2.464394
  2380.001,     2.640125
  2380.051,     2.754982
  2380.101,     2.839971
  2380.151,     2.885413
  2380.201,     2.901650
  2380.251,     2.907417
  2380.301,     2.924668
  2380.351,     2.946534
  2380.401,     2.968059
  2380.451,     2.979443
  2380.501,     2.972301
  2380.551,     2.931410
  2380.601,     2.857238
  2380.651,     2.718862
  2380.701,     2.513588
  2380.751,     2.268534
  2380.801,     1.978252
  2380.851,     1.669517
  2380.901,     1.342424
  2380.951,     1.012486
  2381.001,     0.694683
  2381.051,     0.381911
  2381.101,     0.065798
  2381.151,    -0.255577
  2381.201,    -0.611703
  2381.251,    -0.999666
  2381.301,    -1.421740
  2381.351,    -1.901622
  2381.401,    -2.429306
  2381.451,    -3.021039
  2381.501,    -3.678888
  2381.551,    -4.403091
  2381.601,    -5.194052
  2381.651,    -6.022502
  2381.701,    -6.898466
  2381.751,    -7.812137
  2381.801,    -8.745973
  2381.851,    -9.722700
  2381.901,   -10.743347
  2381.951,   -11.843953
  2382.001,   -13.022916
  2382.051,   -14.329410
  2382.101,   -15.781042
  2382.151,   -17.383921
  2382.201,   -19.143870
  2382.251,   -21.082706
  2382.301,   -23.188979
  2382.351,   -25.480155
  2382.401,   -27.976930
  2382.451,   -30.706813
  2382.501,   -33.726848
  2382.551,   -37.096870
  2382.601,   -40.892631
  2382.651,   -45.181882
  2382.701,   -50.054829
  2382.751,   -55.556668
  2382.801,   -61.705968
  2382.851,   -68.487435
  2382.901,   -75.763461
  2382.951,   -83.248398
  2383.001,   -90.449610
  2383.051,   -96.455863
  2383.101,   -99.921458
  2383.151,   -98.849166
  2383.201,   -90.601639
  2383.251,   -71.934986
  2383.301,   -39.369694
  2383.351,    10.208090
  2383.401,    78.535007
  2383.451,   164.961133
  2383.501,   265.552145
  2383.551,   372.598546
  2383.601,   474.694373
  2383.651,   557.598862
  2383.701,   606.795914
  2383.751,   611.630150
  2383.801,   568.910987
  2383.851,   484.240560
  2383.901,   370.098598
  2383.951,   242.098779
  2384.001,   115.000528
  2384.051,     0.018615
  2384.101,   -96.066710
  2384.151,  -170.254922
  2384.201,  -222.435592
  2384.251,  -254.429625
  2384.301,  -269.055755
  2384.351,  -269.423607
  2384.401,  -258.885091
  2384.451,  -240.960705
  2384.501,  -219.376601
  2384.551,  -197.433704
  2384.601,  -177.437814
  2384.651,  -160.183691
  2384.701,  -145.024862
  2384.751,  -130.249343
  2384.801,  -113.681645
  2384.851,   -93.284401
  2384.901,   -67.772450
  2384.951,   -37.299478
  2385.001,    -4.145874
  2385.051,    27.135847
  2385.101,    50.594532
  2385.151,    60.364775
  2385.201,    52.821185
  2385.251,    27.974596
  2385.301,   -10.200746
  2385.351,   -54.676440
  2385.401,   -96.907076
  2385.451,  -128.219713
  2385.501,  -141.291215
  2385.551,  -131.919493
  2385.601,  -100.813142
  2385.651,   -53.977412
  2385.701,    -0.853571
  2385.751,    48.282924
  2385.801,    85.183629
  2385.851,   105.405811
  2385.901,   108.623597
  2385.951,    97.665180
  2386.001,    77.100540
  2386.051,    51.908952
  2386.101,    26.735289
  2386.151,     5.120242
  2386.201,   -10.987003
  2386.251,   -21.218286
  2386.301,   -26.222228
  2386.351,   -26.698107
  2386.401,   -22.873375
  2386.451,   -14.860986
  2386.501,    -3.358938
  2386.551,    10.182380
  2386.601,    24.001039
  2386.651,    36.622696
  2386.701,    47.268782
  2386.751,    55.631944
  2386.801,    61.264000
  2386.851,    63.245158
  2386.901,    60.538056
  2386.951,    52.603616
  2387.001,    39.726781
  2387.051,    22.635160
  2387.101,     2.338796
  2387.151,   -19.811392
  2387.201,   -41.832739
  2387.251,   -60.732439
  2387.301,   -72.784005
  2387.351,   -74.779337
  2387.401,   -65.471582
  2387.451,   -46.361519
  2387.501,   -21.135831
  2387.551,     5.379293
  2387.601,    28.159543
  2387.651,    42.702365
  2387.701,    45.964219
  2387.751,    37.566014
  2387.801,    20.396899
  2387.851,    -0.199713
  2387.901,   -18.241724
  2387.951,   -29.037116
  2388.001,   -30.216786
  2388.051,   -22.058241
  2388.101,    -6.910180
  2388.151,    11.923324
  2388.201,    31.195854
  2388.251,    48.007499
  2388.301,    59.911340
  2388.351,    65.132709
  2388.401,    62.973637
  2388.451,    53.756248
  2388.501,    38.619837
  2388.551,    19.374146
  2388.601,    -1.590495
  2388.651,   -21.213570
  2388.701,   -36.180800
  2388.751,   -43.960266
  2388.801,   -44.096184
  2388.851,   -38.545326
  2388.901,   -30.514120
  2388.951,   -22.772494
  2389.001,   -16.933218
  2389.051,   -13.942469
  2389.101,   -14.493460
  2389.151,   -18.795345
  2389.201,   -26.092630
  2389.251,   -34.563615
  2389.301,   -41.739869
  2389.351,   -44.952172
  2389.401,   -41.807435
  2389.451,   -31.021453
  2389.501,   -13.033591
  2389.551,     9.887026
  2389.601,    34.167188
  2389.651,    55.699085
  2389.701,    70.426749
  2389.751,    75.179713
  2389.801,    68.890337
  2389.851,    53.366764
  2389.901,    32.517597
  2389.951,    10.792542
  2390.001,    -8.223207
  2390.051,   -22.259834
  2390.101,   -30.065926
  2390.151,   -31.151124
  2390.201,   -25.859045
  2390.251,   -15.870680
  2390.301,    -4.288017
  2390.351,     5.333218
  2390.401,    10.536866
  2390.451,    10.880510
  2390.501,     7.646355
  2390.551,     2.713896
  2390.601,    -2.670704
  2390.651,    -7.938660
  2390.701,   -12.823292
  2390.751,   -16.822440
  2390.801,   -19.446231
  2390.851,   -20.913718
  2390.901,   -22.167587
  2390.951,   -23.905844
  2391.001,   -25.512997
  2391.051,   -25.148635
  2391.101,   -21.139174
  2391.151,   -13.259590
  2391.201,    -2.843027
  2391.251,     8.044515
  2391.301,    17.370021
  2391.351,    23.475308
  2391.401,    25.547650
  2391.451,    24.012189
  2391.501,    20.219148
  2391.551,    15.622051
  2391.601,    11.309924
  2391.651,     8.165317
  2391.701,     6.797967
  2391.751,     7.129409
  2391.801,     8.011641
  2391.851,     7.761000
  2391.901,     5.212975
  2391.951,     0.526601
  2392.001,    -5.076353
  2392.051,   -10.140885
  2392.101,   -13.384691
  2392.151,   -13.619080
  2392.201,    -9.855657
  2392.251,    -2.168990
  2392.301,     7.908306
  2392.351,    17.910602
  2392.401,    25.375834
  2392.451,    28.630401
  2392.501,    27.201739
  2392.551,    21.770339
  2392.601,    13.630737
  2392.651,     3.919344
  2392.701,    -7.051835
  2392.751,   -19.691160
  2392.801,   -34.106378
  2392.851,   -48.728359
  2392.901,   -60.278386
  2392.951,   -65.233164
  2393.001,   -61.453022
  2393.051,   -48.667108
  2393.101,   -28.391576
  2393.151,    -3.866659
  2393.201,    20.511399
  2393.251,    40.199169
  2393.301,    52.141802
  2393.351,    55.793136
  2393.401,    52.932939
  2393.451,    46.404987
  2393.501,    38.741365
  2393.551,    31.451367
  2393.601,    24.929437
  2393.651,    18.785566
  2393.701,    12.548013
  2393.751,     6.422409
  2393.801,     1.205281
  2393.851,    -2.431799
  2393.901,    -4.606659
  2393.951,    -6.143569
  2394.001,    -7.776190
  2394.051,    -9.697982
  2394.101,   -11.643216
  2394.151,   -13.282866
  2394.201,   -14.564297
  2394.251,   -15.576273
  2394.301,   -16.332910
  2394.351,   -16.798108
  2394.401,   -16.915060
  2394.451,   -16.738735
  2394.501,   -16.274931
  2394.551,   -15.482561
  2394.602,   -14.447515
  2394.652,   -13.426300
  2394.702,   -12.776878
  2394.752,   -12.891788
  2394.802,   -13.951305
  2394.852,   -15.625188
  2394.902,   -16.762791
  2394.952,   -15.721326
  2395.002,   -11.122021
  2395.052,    -2.346713
  2395.102,    10.219741
  2395.152,    24.986049
  2395.202,    39.383959
  2395.252,    50.624759
  2395.302,    56.705694
  2395.352,    57.009965
  2395.402,    52.003399
  2395.452,    42.287860
  2395.502,    28.328036
  2395.552,    10.871785
  2395.602,    -8.352727
  2395.652,   -26.834978
  2395.702,   -42.276734
  2395.752,   -53.081536
  2395.802,   -57.995720
  2395.852,   -55.820831
  2395.902,   -45.988683
  2395.952,   -29.602788
  2396.002,    -9.499792
  2396.052,    10.706834
  2396.102,    27.747979
  2396.152,    39.051900
  2396.202,    42.803073
  2396.252,    38.243761
  2396.302,    26.174499
  2396.352,     9.162917
  2396.402,    -9.169898
  2396.452,   -25.290987
  2396.502,   -36.594856
  2396.552,   -41.610397
  2396.602,   -39.975431
  2396.652,   -32.445468
  2396.702,   -20.845017
  2396.752,    -7.708404
  2396.802,     4.573799
  2396.852,    14.454080
  2396.902,    21.394854
  2396.952,    25.344999
  2397.002,    26.301185
  2397.052,    24.463316
  2397.102,    20.663393
  2397.152,    16.190496
  2397.202,    12.071295
  2397.252,     8.645653
  2397.302,     5.654927
  2397.352,     2.710097
  2397.402,    -0.341915
  2397.452,    -3.311913
  2397.502,    -5.709798
  2397.552,    -7.007617
  2397.602,    -6.771227
  2397.652,    -4.714840
  2397.702,    -0.843208
  2397.752,     4.310988
  2397.802,     9.450577
  2397.852,    12.876289
  2397.902,    13.192079
  2397.952,     9.699767
  2398.002,     2.475857
  2398.052,    -7.694176
  2398.102,   -19.338503
  2398.152,   -30.416445
  2398.202,   -38.514855
  2398.252,   -41.543804
