Time_abs/ps, Signal/nA
  2370.000,    -0.003625
  2370.050,     0.002530
  2370.100,     0.005541
  2370.150,     0.004935
  2370.200,     0.012529
  2370.250,     0.016730
  2370.300,     0.017158
  2370.350,     0.013913
  2370.400,     0.005228
  2370.450,     0.004888
  2370.500,     0.003660
  2370.550,    -0.001272
  2370.600,    -0.001326
  2370.650,    -0.010610
  2370.700,    -0.012304
  2370.750,    -0.000097
  2370.800,    -0.013384
  2370.850,    -0.017335
  2370.900,    -0.011111
  2370.950,    -0.016046
  2371.000,    -0.013298
  2371.050,    -0.021583
  2371.100,    -0.020347
  2371.150,    -0.027363
  2371.200,    -0.020272
  2371.250,    -0.024334
  2371.300,    -0.020260
  2371.350,    -0.019221
  2371.400,    -0.020750
  2371.450,    -0.021205
  2371.500,    -0.024577
  2371.550,    -0.019705
  2371.600,    -0.019816
  2371.650,    -0.025557
  2371.700,    -0.023050
  2371.750,    -0.007470
  2371.800,    -0.007452
  2371.850,    -0.004386
  2371.900,    -0.007550
  2371.950,    -0.001664
  2372.000,    -0.001984
  2372.050,    -0.004234
  2372.100,    -0.007567
  2372.150,    -0.007285
  2372.200,    -0.002481
  2372.250,    -0.003942
  2372.300,     0.002351
  2372.350,     0.003073
  2372.400,     0.001890
  2372.450,     0.000210
  2372.500,     0.001952
  2372.550,     0.004734
  2372.600,     0.007466
  2372.650,     0.009203
  2372.700,     0.005457
  2372.750,     0.012156
  2372.800,     0.008499
  2372.850,     0.014476
  2372.900,     0.011217
  2372.950,     0.013960
  2373.000,     0.019981
  2373.050,     0.013348
  2373.100,    -0.001118
  2373.150,     0.001270
  2373.200,     0.005374
  2373.250,     0.005095
  2373.300,     0.014393
  2373.350,     0.014045
  2373.400,     0.015017
  2373.450,     0.024274
  2373.500,     0.020800
  2373.550,     0.027345
  2373.600,     0.023755
  2373.650,     0.033502
  2373.700,     0.027074
  2373.750,     0.038096
  2373.800,     0.034268
  2373.850,     0.043261
  2373.900,     0.036827
  2373.950,     0.041754
  2374.000,     0.042812
  2374.050,     0.054845
  2374.100,     0.063749
  2374.150,     0.052031
  2374.200,     0.067411
  2374.250,     0.071461
  2374.300,     0.069297
  2374.350,     0.077262
  2374.400,     0.079333
  2374.450,     0.065539
  2374.500,     0.071728
  2374.550,     0.067211
  2374.600,     0.055280
  2374.650,     0.051454
  2374.700,     0.041658
  2374.750,     0.035810
  2374.800,     0.034068
