Time_abs/ps, Signal/nA
  2370.000,     0.033651
  2370.050,     0.026632
  2370.100,     0.029021
  2370.150,     0.026957
  2370.200,     0.018913
  2370.250,     0.012659
  2370.300,     0.014415
  2370.350,     0.005557
  2370.400,     0.001932
  2370.450,    -0.001610
  2370.500,    -0.003647
  2370.550,    -0.015183
  2370.600,    -0.018849
  2370.650,    -0.018031
  2370.700,    -0.025023
  2370.750,    -0.028742
  2370.800,    -0.016809
  2370.850,    -0.016343
  2370.900,    -0.015679
  2370.950,    -0.009821
  2371.000,     0.000734
  2371.050,     0.020501
  2371.100,     0.021082
  2371.150,     0.015088
  2371.200,     0.018644
  2371.250,     0.030767
  2371.300,     0.026432
  2371.350,     0.020636
  2371.400,     0.015490
  2371.450,     0.016623
  2371.500,     0.020861
  2371.550,     0.026110
  2371.600,     0.026219
  2371.650,     0.026474
  2371.700,     0.021308
  2371.750,     0.022436
  2371.800,     0.030035
  2371.850,     0.033067
  2371.900,     0.030560
  2371.950,     0.037470
  2372.000,     0.037402
  2372.050,     0.036703
  2372.100,     0.035623
  2372.150,     0.033588
  2372.200,     0.039843
  2372.250,     0.042707
  2372.300,     0.046383
  2372.350,     0.044156
  2372.400,     0.046247
  2372.450,     0.046235
  2372.500,     0.059036
  2372.550,     0.061055
  2372.600,     0.053409
  2372.650,     0.063597
  2372.700,     0.074347
  2372.750,     0.058714
  2372.800,     0.055935
  2372.850,     0.055306
  2372.900,     0.054306
  2372.950,     0.057920
  2373.000,     0.060607
  2373.050,     0.071520
  2373.100,     0.067110
  2373.150,     0.068004
  2373.200,     0.074174
  2373.250,     0.084247
  2373.300,     0.077661
  2373.350,     0.082158
  2373.400,     0.086618
  2373.450,     0.079061
  2373.500,     0.071713
  2373.550,     0.067161
  2373.600,     0.068853
  2373.650,     0.059349
  2373.700,     0.050347
  2373.750,     0.052259
  2373.800,     0.056066
  2373.850,     0.055926
  2373.900,     0.049958
  2373.950,     0.041201
  2374.000,     0.049295
  2374.050,     0.060507
  2374.100,     0.065703
  2374.150,     0.063364
  2374.200,     0.067796
  2374.250,     0.082539
  2374.300,     0.088806
  2374.350,     0.093238
  2374.400,     0.097545
  2374.450,     0.099945
  2374.500,     0.094796
  2374.550,     0.087395
  2374.600,     0.083569
  2374.650,     0.079128
  2374.700,     0.079365
  2374.750,     0.069765
  2374.800,     0.067961
  2374.850,     0.062407
  2374.900,     0.064325
  2374.950,     0.053782
  2375.000,     0.045831
  2375.050,     0.041198
  2375.100,     0.029488
  2375.150,     0.033171
  2375.200,     0.045016
  2375.250,     0.040238
  2375.300,     0.029954
  2375.350,     0.029996
  2375.400,     0.026083
  2375.450,     0.030873
  2375.500,     0.025922
  2375.550,     0.020746
  2375.600,     0.005276
  2375.650,    -0.008515
  2375.700,    -0.025600
  2375.750,    -0.060557
  2375.800,    -0.083199
  2375.850,    -0.116760
  2375.900,    -0.156608
  2375.950,    -0.205824
  2376.000,    -0.264018
  2376.050,    -0.311532
  2376.100,    -0.379521
  2376.150,    -0.414466
  2376.200,    -0.437839
  2376.250,    -0.439152
  2376.300,    -0.385977
  2376.350,    -0.273347
  2376.400,    -0.104103
  2376.450,     0.141868
  2376.500,     0.443930
  2376.550,     0.773060
  2376.600,     1.101361
  2376.650,     1.386760
  2376.700,     1.582367
  2376.750,     1.672077
  2376.800,     1.651208
  2376.850,     1.531542
  2376.900,     1.326870
  2376.950,     1.075538
  2377.000,     0.807741
  2377.050,     0.551232
  2377.100,     0.330401
  2377.150,     0.150732
  2377.200,     0.017868
  2377.250,    -0.077579
  2377.300,    -0.146278
  2377.350,    -0.197034
  2377.400,    -0.233298
  2377.450,    -0.241679
  2377.500,    -0.255553
  2377.550,    -0.259789
  2377.600,    -0.256912
  2377.650,    -0.252258
  2377.700,    -0.244487
  2377.750,    -0.231017
  2377.800,    -0.213244
  2377.850,    -0.169556
  2377.900,    -0.103313
  2377.950,    -0.017771
  2378.000,     0.072999
  2378.050,     0.175106
  2378.100,     0.256454
  2378.150,     0.295526
  2378.201,     0.300588
  2378.251,     0.260316
  2378.301,     0.190295
  2378.351,     0.099030
  2378.401,     0.013104
  2378.451,    -0.047589
  2378.501,    -0.072925
  2378.551,    -0.035078
  2378.601,     0.035613
  2378.651,     0.150856
  2378.701,     0.276803
  2378.751,     0.381296
  2378.801,     0.465658
  2378.851,     0.503853
  2378.901,     0.512039
  2378.951,     0.496367
  2379.001,     0.472128
  2379.051,     0.432901
  2379.101,     0.395717
  2379.151,     0.378846
  2379.201,     0.371093
  2379.251,     0.376577
  2379.301,     0.394747
  2379.351,     0.427006
  2379.401,     0.441499
  2379.451,     0.466997
  2379.501,     0.513859
  2379.551,     0.544978
  2379.601,     0.602460
  2379.651,     0.639286
  2379.701,     0.682068
  2379.751,     0.727996
  2379.801,     0.775185
  2379.851,     0.821771
  2379.901,     0.841844
  2379.951,     0.859092
  2380.001,     0.864093
  2380.051,     0.849078
