Time_abs/ps, Signal/nA
  2370.000,    -0.000125
  2370.050,    -0.010148
  2370.100,    -0.005137
  2370.150,     0.003661
  2370.200,    -0.005038
  2370.250,    -0.008082
  2370.300,     0.003583
  2370.350,    -0.004148
  2370.400,    -0.000327
  2370.450,    -0.009120
  2370.500,    -0.007497
  2370.550,    -0.004714
  2370.600,    -0.007111
  2370.650,     0.002471
  2370.700,    -0.000362
  2370.750,    -0.002443
  2370.800,    -0.001793
  2370.850,     0.008718
  2370.900,     0.019183
  2370.950,     0.028430
  2371.000,     0.040564
  2371.050,     0.040504
  2371.100,     0.033359
  2371.150,     0.032201
  2371.200,     0.040590
  2371.250,     0.032262
  2371.300,     0.034219
  2371.350,     0.025543
  2371.400,     0.035562
  2371.450,     0.038234
  2371.500,     0.026370
  2371.550,     0.030747
  2371.600,     0.026562
  2371.650,     0.020394
  2371.700,     0.018678
  2371.750,     0.013218
  2371.800,     0.018300
  2371.850,     0.022827
  2371.900,     0.027602
  2371.950,     0.027313
  2372.000,     0.031812
  2372.050,     0.024404
  2372.100,     0.019888
  2372.150,     0.028767
  2372.200,     0.030150
  2372.250,     0.042427
  2372.300,     0.041128
  2372.350,     0.042296
  2372.400,     0.043679
  2372.450,     0.033770
  2372.500,     0.026426
  2372.550,     0.035740
  2372.600,     0.023234
  2372.650,     0.017174
  2372.700,     0.018487
  2372.750,     0.016389
  2372.800,     0.013422
  2372.850,     0.015235
  2372.900,     0.027316
  2372.950,     0.024947
  2373.000,     0.025363
  2373.050,     0.031848
  2373.100,     0.034453
  2373.150,     0.039406
  2373.200,     0.052037
  2373.250,     0.058033
  2373.300,     0.064545
  2373.350,     0.069563
  2373.400,     0.064373
  2373.450,     0.070892
  2373.500,     0.073562
  2373.550,     0.078730
  2373.600,     0.082661
  2373.650,     0.082883
  2373.700,     0.085888
  2373.750,     0.083669
  2373.800,     0.080213
  2373.850,     0.079015
  2373.900,     0.075579
  2373.950,     0.075458
  2374.000,     0.078522
  2374.050,     0.074125
  2374.100,     0.058246
  2374.150,     0.062223
  2374.200,     0.065061
  2374.250,     0.066072
  2374.300,     0.075288
  2374.350,     0.071188
  2374.400,     0.063858
  2374.450,     0.077082
  2374.500,     0.061211
  2374.550,     0.065885
  2374.600,     0.059740
  2374.650,     0.049002
  2374.700,     0.056316
  2374.750,     0.052614
  2374.800,     0.046936
  2374.850,     0.047461
  2374.900,     0.042133
  2374.950,     0.056331
  2375.000,     0.045732
  2375.050,     0.040138
  2375.100,     0.041343
  2375.150,     0.052949
  2375.200,     0.046444
  2375.250,     0.042024
  2375.300,     0.038677
  2375.350,     0.049290
  2375.400,     0.055159
  2375.450,     0.055526
  2375.500,     0.052909
  2375.550,     0.060906
  2375.600,     0.061123
  2375.650,     0.060162
  2375.700,     0.062790
  2375.750,     0.065061
  2375.800,     0.064511
  2375.850,     0.064545
  2375.900,     0.064555
  2375.950,     0.068717
  2376.000,     0.065478
  2376.050,     0.051322
  2376.100,     0.056813
  2376.150,     0.059442
  2376.200,     0.045132
  2376.250,     0.051215
  2376.300,     0.049171
  2376.350,     0.061648
  2376.400,     0.043458
  2376.450,     0.041843
  2376.500,     0.053550
  2376.550,     0.042593
  2376.600,     0.038986
  2376.650,     0.042446
  2376.700,     0.025411
