Time_abs/ps, Signal/nA
  2370.000,     0.005411
  2370.050,     0.001483
  2370.100,     0.000971
  2370.150,     0.000452
  2370.200,    -0.004306
  2370.250,     0.001837
  2370.300,    -0.003651
  2370.350,    -0.000777
  2370.400,     0.007652
  2370.450,     0.009645
  2370.500,     0.005459
  2370.550,    -0.000519
  2370.600,     0.002398
  2370.650,    -0.006915
  2370.700,    -0.008240
  2370.750,     0.000244
  2370.800,    -0.005207
  2370.850,     0.005268
  2370.900,    -0.008271
  2370.950,    -0.002934
  2371.000,     0.000297
  2371.050,    -0.005846
  2371.100,    -0.012627
  2371.150,    -0.022986
  2371.200,    -0.025307
  2371.250,    -0.012039
  2371.300,    -0.015714
  2371.350,    -0.023523
  2371.400,    -0.011225
  2371.450,    -0.008067
  2371.500,    -0.012112
  2371.550,    -0.007343
  2371.600,    -0.006101
  2371.650,    -0.001406
  2371.700,     0.010762
  2371.750,     0.000431
  2371.800,     0.002310
  2371.850,     0.003662
  2371.900,     0.002019
  2371.950,    -0.000459
  2372.000,     0.012030
  2372.050,     0.013680
  2372.100,     0.018931
  2372.150,     0.014633
  2372.200,     0.013066
  2372.250,     0.017778
  2372.300,     0.021181
  2372.350,     0.026427
  2372.400,     0.022661
  2372.450,     0.028767
  2372.500,     0.047124
  2372.550,     0.043729
  2372.600,     0.040251
  2372.650,     0.050010
  2372.700,     0.061852
  2372.750,     0.062201
  2372.800,     0.067103
  2372.850,     0.061789
  2372.900,     0.066985
  2372.950,     0.064472
  2373.000,     0.057449
  2373.050,     0.048564
  2373.100,     0.057930
  2373.150,     0.044536
  2373.200,     0.033549
  2373.250,     0.030678
  2373.300,     0.038672
  2373.350,     0.042966
  2373.400,     0.033678
  2373.450,     0.024735
  2373.500,     0.037015
  2373.550,     0.042127
  2373.600,     0.039102
  2373.650,     0.037867
  2373.700,     0.042367
  2373.750,     0.042995
  2373.800,     0.054038
  2373.850,     0.052001
  2373.900,     0.053957
  2373.950,     0.056182
  2374.000,     0.042081
  2374.050,     0.051727
  2374.100,     0.042623
  2374.150,     0.037734
  2374.200,     0.042618
  2374.250,     0.047957
  2374.300,     0.046146
  2374.350,     0.039225
  2374.400,     0.043616
  2374.450,     0.052366
  2374.500,     0.036942
  2374.550,     0.040705
  2374.600,     0.042649
  2374.650,     0.041708
  2374.700,     0.036796
  2374.750,     0.039625
  2374.800,     0.041951
  2374.850,     0.035487
  2374.900,     0.039308
  2374.950,     0.042035
  2375.000,     0.045366
  2375.050,     0.038914
  2375.100,     0.042978
  2375.150,     0.044898
  2375.200,     0.033326
  2375.250,     0.035543
  2375.300,     0.028096
  2375.350,     0.026274
  2375.400,     0.032859
  2375.450,     0.024367
  2375.500,     0.023007
  2375.550,     0.022951
  2375.600,     0.024444
  2375.650,     0.017105
  2375.700,     0.003275
  2375.750,     0.004560
  2375.800,     0.000019
  2375.850,     0.002724
  2375.900,     0.005518
  2375.950,    -0.002046
  2376.000,    -0.006695
  2376.050,    -0.014022
  2376.100,    -0.029609
  2376.150,    -0.050774
  2376.200,    -0.075072
  2376.250,    -0.100613
  2376.300,    -0.147697
  2376.350,    -0.185297
  2376.400,    -0.226294
  2376.450,    -0.288080
  2376.500,    -0.320715
  2376.550,    -0.373921
  2376.600,    -0.397588
  2376.650,    -0.407366
  2376.700,    -0.386241
  2376.750,    -0.317016
  2376.800,    -0.182154
  2376.850,    -0.007071
  2376.900,     0.237493
  2376.950,     0.514807
  2377.000,     0.799161
  2377.050,     1.047933
  2377.100,     1.251520
  2377.150,     1.380553
  2377.200,     1.408889
  2377.250,     1.344133
  2377.300,     1.186614
  2377.350,     0.993050
  2377.400,     0.757105
  2377.450,     0.532930
  2377.500,     0.323150
  2377.550,     0.147980
  2377.600,     0.001707
  2377.650,    -0.100545
  2377.700,    -0.167531
  2377.750,    -0.213343
  2377.800,    -0.246901
  2377.850,    -0.256700
  2377.900,    -0.251529
  2377.950,    -0.252661
  2378.000,    -0.244961
  2378.050,    -0.224129
  2378.100,    -0.209630
  2378.150,    -0.212817
  2378.201,    -0.190596
  2378.251,    -0.155969
  2378.301,    -0.102322
  2378.351,    -0.033256
  2378.401,     0.050307
  2378.451,     0.139688
  2378.501,     0.219598
  2378.551,     0.262205
  2378.601,     0.273739
  2378.651,     0.240872
  2378.701,     0.179044
  2378.751,     0.097036
  2378.801,    -0.008722
  2378.851,    -0.066677
  2378.901,    -0.111509
  2378.951,    -0.109548
  2379.001,    -0.055108
  2379.051,     0.033616
  2379.101,     0.141910
  2379.151,     0.258551
  2379.201,     0.346505
  2379.251,     0.407632
  2379.301,     0.436059
  2379.351,     0.434844
  2379.401,     0.422903
  2379.451,     0.377723
  2379.501,     0.344814
  2379.551,     0.320619
  2379.601,     0.299765
  2379.651,     0.287116
  2379.701,     0.290900
  2379.751,     0.298323
  2379.801,     0.321383
  2379.851,     0.326519
  2379.901,     0.356043
  2379.951,     0.391192
  2380.001,     0.427683
  2380.051,     0.478778
  2380.101,     0.519934
  2380.151,     0.565651
  2380.201,     0.607925
  2380.251,     0.649721
  2380.301,     0.671037
  2380.351,     0.687119
  2380.401,     0.676505
  2380.451,     0.670678
  2380.501,     0.644498
  2380.551,     0.611223
  2380.601,     0.573078
  2380.651,     0.534958
  2380.701,     0.521168
  2380.751,     0.531933
  2380.801,     0.565541
  2380.851,     0.629393
  2380.901,     0.731218
  2380.951,     0.836579
  2381.001,     0.954001
  2381.051,     1.063912
  2381.101,     1.144429
  2381.151,     1.190990
  2381.201,     1.198064
  2381.251,     1.182952
  2381.301,     1.132528
  2381.351,     1.071986
  2381.401,     1.020875
  2381.451,     0.990536
  2381.501,     0.980289
  2381.551,     0.980232
  2381.601,     0.995848
  2381.651,     1.002849
  2381.701,     1.016574
  2381.751,     0.995300
  2381.801,     0.944801
  2381.851,     0.858322
  2381.901,     0.748305
  2381.951,     0.629363
  2382.001,     0.523650
  2382.051,     0.424056
  2382.101,     0.348853
  2382.151,     0.287696
  2382.201,     0.250428
  2382.251,     0.232289
  2382.301,     0.220959
  2382.351,     0.204396
  2382.401,     0.194874
  2382.451,     0.156899
  2382.501,     0.104533
  2382.551,     0.021645
  2382.601,    -0.079856
  2382.651,    -0.229928
  2382.701,    -0.386151
  2382.751,    -0.603498
  2382.801,    -0.828399
  2382.851,    -1.074638
  2382.901,    -1.345787
  2382.951,    -1.641618
  2383.001,    -1.953601
  2383.051,    -2.318815
  2383.101,    -2.739797
  2383.151,    -3.253849
  2383.201,    -3.881188
  2383.251,    -4.663879
  2383.301,    -5.610835
  2383.351,    -6.762730
  2383.401,    -8.153065
  2383.451,    -9.799759
  2383.501,   -11.752772
  2383.551,   -14.066583
  2383.601,   -16.777443
  2383.651,   -19.951540
  2383.701,   -23.648598
  2383.751,   -27.912586
  2383.801,   -32.815001
  2383.851,   -38.358705
  2383.901,   -44.585680
  2383.951,   -51.469155
  2384.001,   -58.958805
  2384.051,   -66.899935
  2384.101,   -75.001015
  2384.151,   -82.716314
  2384.201,   -89.160221
  2384.251,   -93.005016
  2384.301,   -92.261480
  2384.351,   -84.404695
  2384.401,   -66.349398
  2384.451,   -35.059016
  2384.501,    11.884708
  2384.551,    75.257864
  2384.601,   153.200372
  2384.651,   240.434016
  2384.701,   328.294507
  2384.751,   405.101808
  2384.801,   458.064159
  2384.851,   476.224471
  2384.901,   453.864289
  2384.951,   392.719530
  2385.001,   301.361981
  2385.051,   192.911414
  2385.101,    81.026933
  2385.151,   -22.515784
  2385.201,  -109.329379
  2385.251,  -174.682278
  2385.301,  -217.332581
  2385.351,  -238.962018
  2385.401,  -243.000115
  2385.451,  -233.585495
  2385.501,  -214.836448
  2385.551,  -190.714401
  2385.601,  -164.901669
  2385.651,  -140.386739
  2385.701,  -119.138838
  2385.751,  -101.788692
  2385.801,   -87.766996
  2385.851,   -75.719629
  2385.901,   -63.855247
  2385.951,   -50.198748
  2386.001,   -33.106113
  2386.051,   -11.685818
  2386.101,    13.340595
  2386.151,    39.191037
  2386.201,    61.232261
  2386.251,    74.252452
  2386.301,    74.088713
  2386.351,    59.161731
  2386.401,    31.221370
  2386.451,    -5.106181
  2386.501,   -43.364039
  2386.551,   -76.201575
  2386.601,   -96.623736
  2386.651,   -99.342598
  2386.701,   -82.690875
  2386.751,   -49.658091
  2386.801,    -7.392079
  2386.851,    35.298247
  2386.901,    70.198392
  2386.951,    91.931554
  2387.001,    98.418811
  2387.051,    90.771383
  2387.101,    72.351376
  2387.151,    47.788785
  2387.201,    21.987393
  2387.251,    -0.708435
  2387.301,   -17.501525
  2387.351,   -27.590873
  2387.401,   -31.819233
  2387.451,   -31.618043
  2387.501,   -27.963734
  2387.551,   -21.361470
  2387.601,   -12.345337
  2387.651,    -1.984670
  2387.701,     8.512412
  2387.751,    18.248061
  2387.801,    26.880850
  2387.851,    34.337929
  2387.901,    40.311495
  2387.951,    43.952479
  2388.001,    44.101319
  2388.051,    39.950431
  2388.101,    31.497611
  2388.151,    19.256890
  2388.201,     3.835904
  2388.251,   -13.871910
  2388.301,   -32.382405
  2388.351,   -49.251080
  2388.401,   -61.247810
  2388.451,   -65.204814
  2388.501,   -59.446713
  2388.551,   -44.587330
  2388.601,   -23.379761
  2388.651,     0.325374
  2388.701,    22.280427
  2388.751,    38.335119
