Time_abs/ps, Signal/nA
  2370.000,     0.018515
  2370.050,     0.008637
  2370.100,     0.013567
  2370.150,     0.008731
  2370.200,     0.001433
  2370.250,     0.010155
  2370.300,    -0.002401
  2370.350,    -0.009158
  2370.400,    -0.002098
  2370.450,     0.006073
  2370.500,    -0.001840
  2370.550,     0.007879
  2370.600,    -0.001984
  2370.650,    -0.002230
  2370.700,    -0.008260
  2370.750,    -0.008942
  2370.800,    -0.015429
  2370.850,    -0.009034
  2370.900,    -0.008497
  2370.950,    -0.005116
  2371.000,    -0.017903
  2371.050,    -0.016239
  2371.100,    -0.012929
  2371.150,    -0.020713
  2371.200,    -0.030743
  2371.250,    -0.019009
  2371.300,    -0.025296
  2371.350,    -0.018588
  2371.400,    -0.016366
  2371.450,    -0.013370
  2371.500,    -0.016506
  2371.550,    -0.013667
  2371.600,    -0.010359
  2371.650,    -0.007243
  2371.700,     0.000298
  2371.750,     0.004992
  2371.800,     0.019336
  2371.850,     0.022985
  2371.900,     0.014313
  2371.950,     0.014986
  2372.000,     0.017976
  2372.050,     0.018550
  2372.100,     0.020009
  2372.150,     0.015156
  2372.200,     0.013185
  2372.250,     0.020651
  2372.300,     0.030774
  2372.350,     0.030292
  2372.400,     0.030100
  2372.450,     0.025156
  2372.500,     0.022722
  2372.550,     0.020586
  2372.600,     0.015934
  2372.650,     0.025628
  2372.700,     0.022049
  2372.750,     0.021610
  2372.800,     0.020875
  2372.850,     0.018799
  2372.900,     0.026503
  2372.950,     0.028880
  2373.000,     0.030674
  2373.050,     0.038165
  2373.100,     0.035269
  2373.150,     0.048893
  2373.200,     0.044973
  2373.250,     0.042909
  2373.300,     0.049010
  2373.350,     0.058316
  2373.400,     0.068534
  2373.450,     0.058552
  2373.500,     0.063913
  2373.550,     0.060501
  2373.600,     0.078339
  2373.650,     0.074003
  2373.700,     0.076877
  2373.750,     0.082641
  2373.800,     0.085520
  2373.850,     0.099701
  2373.900,     0.101574
  2373.950,     0.114821
  2374.000,     0.106899
  2374.050,     0.109749
  2374.100,     0.111138
  2374.150,     0.120179
  2374.200,     0.113277
  2374.250,     0.121643
  2374.300,     0.129201
  2374.350,     0.126409
  2374.400,     0.128941
  2374.450,     0.136261
  2374.500,     0.137504
  2374.550,     0.148065
  2374.600,     0.141848
  2374.650,     0.138248
  2374.700,     0.129043
  2374.750,     0.138368
  2374.800,     0.140615
  2374.850,     0.129386
  2374.900,     0.139623
  2374.950,     0.138553
  2375.000,     0.143192
  2375.050,     0.149261
  2375.100,     0.143643
  2375.150,     0.136967
  2375.200,     0.125646
  2375.250,     0.130159
  2375.300,     0.129722
  2375.350,     0.141596
  2375.400,     0.136187
  2375.450,     0.124921
  2375.500,     0.122488
  2375.550,     0.126802
  2375.600,     0.122404
  2375.650,     0.127186
  2375.700,     0.121257
  2375.750,     0.124472
  2375.800,     0.127223
  2375.850,     0.122057
  2375.900,     0.121767
  2375.950,     0.124394
  2376.000,     0.123395
  2376.050,     0.115091
  2376.100,     0.124904
  2376.150,     0.117790
  2376.200,     0.126955
  2376.250,     0.129964
  2376.300,     0.125428
  2376.350,     0.136153
  2376.400,     0.137425
  2376.450,     0.136316
  2376.500,     0.130711
  2376.550,     0.131416
  2376.600,     0.139447
  2376.650,     0.120361
  2376.700,     0.115019
  2376.750,     0.123117
  2376.800,     0.120021
  2376.850,     0.110875
  2376.900,     0.116022
  2376.950,     0.118693
  2377.000,     0.106249
  2377.050,     0.112036
  2377.100,     0.112839
  2377.150,     0.100749
  2377.200,     0.107054
  2377.250,     0.108335
  2377.300,     0.093169
  2377.350,     0.095809
  2377.400,     0.093606
  2377.450,     0.094079
  2377.500,     0.097275
  2377.550,     0.088369
  2377.600,     0.084324
  2377.650,     0.085268
  2377.700,     0.084825
  2377.750,     0.075573
  2377.800,     0.074768
  2377.850,     0.073788
  2377.900,     0.073993
  2377.950,     0.075897
  2378.000,     0.069801
  2378.050,     0.071743
  2378.100,     0.074210
  2378.150,     0.068506
  2378.201,     0.067648
  2378.251,     0.065585
  2378.301,     0.061285
  2378.351,     0.054199
  2378.401,     0.049787
  2378.451,     0.059326
  2378.501,     0.059202
  2378.551,     0.066375
  2378.601,     0.052512
  2378.651,     0.058004
  2378.701,     0.050443
  2378.751,     0.052410
  2378.801,     0.061460
  2378.851,     0.054150
  2378.901,     0.053999
  2378.951,     0.063132
  2379.001,     0.053290
  2379.051,     0.051827
  2379.101,     0.056055
