Time_abs/ps, Signal/nA
  2370.000,    -0.003623
  2370.050,    -0.011846
  2370.100,    -0.014883
  2370.150,    -0.012035
  2370.200,    -0.015019
  2370.250,    -0.006860
  2370.300,    -0.002992
  2370.350,    -0.010940
  2370.400,    -0.010668
  2370.450,    -0.001911
  2370.500,     0.000325
  2370.550,     0.003164
  2370.600,     0.010630
  2370.650,     0.013943
  2370.700,     0.014415
  2370.750,     0.011471
  2370.800,     0.007995
  2370.850,     0.010398
  2370.900,     0.007225
  2370.950,     0.011209
  2371.000,     0.004461
  2371.050,     0.006695
  2371.100,     0.003439
  2371.150,     0.005001
  2371.200,    -0.000061
  2371.250,    -0.011088
  2371.300,    -0.014648
  2371.350,    -0.013629
  2371.400,    -0.022565
  2371.450,    -0.020753
  2371.500,    -0.021094
  2371.550,    -0.024691
  2371.600,    -0.022423
  2371.650,    -0.025932
  2371.700,    -0.026075
  2371.750,    -0.016121
  2371.800,    -0.008230
  2371.850,    -0.007405
  2371.900,    -0.002471
  2371.950,    -0.002962
  2372.000,    -0.004930
  2372.050,     0.007950
  2372.100,     0.011399
  2372.150,     0.018124
  2372.200,     0.009196
  2372.250,     0.003724
  2372.300,     0.006912
  2372.350,     0.000057
  2372.400,     0.005537
  2372.450,     0.009509
  2372.500,     0.019345
  2372.550,     0.014954
  2372.600,     0.017215
  2372.650,     0.015070
  2372.700,     0.019644
  2372.750,     0.027862
  2372.800,     0.029008
  2372.850,     0.027370
  2372.900,     0.033902
  2372.950,     0.038544
  2373.000,     0.039881
  2373.050,     0.034494
  2373.100,     0.031869
  2373.150,     0.039744
  2373.200,     0.036036
  2373.250,     0.027438
  2373.300,     0.034322
  2373.350,     0.037178
  2373.400,     0.038064
  2373.450,     0.034412
  2373.500,     0.035210
  2373.550,     0.041773
  2373.600,     0.042291
  2373.650,     0.044717
  2373.700,     0.045831
  2373.750,     0.045033
  2373.800,     0.049064
  2373.850,     0.057346
  2373.900,     0.052524
  2373.950,     0.057065
  2374.000,     0.063428
  2374.050,     0.063111
  2374.100,     0.069300
  2374.150,     0.064785
  2374.200,     0.057553
  2374.250,     0.058467
  2374.300,     0.054818
  2374.350,     0.063042
  2374.400,     0.053510
  2374.450,     0.032313
  2374.500,     0.030476
  2374.550,     0.014579
  2374.600,     0.019000
  2374.650,     0.014051
  2374.700,     0.009863
  2374.750,     0.014783
  2374.800,     0.015783
  2374.850,     0.020574
  2374.900,     0.019180
  2374.950,     0.022095
  2375.000,     0.028622
  2375.050,     0.038584
  2375.100,     0.039507
  2375.150,     0.041335
  2375.200,     0.046462
  2375.250,     0.053445
  2375.300,     0.057036
  2375.350,     0.054957
  2375.400,     0.059670
  2375.450,     0.063873
  2375.500,     0.063565
  2375.550,     0.066248
  2375.600,     0.068685
  2375.650,     0.068260
  2375.700,     0.066446
  2375.750,     0.055403
  2375.800,     0.051185
  2375.850,     0.040824
  2375.900,     0.036476
  2375.950,     0.037856
  2376.000,     0.026342
  2376.050,     0.021408
  2376.100,     0.010968
  2376.150,     0.005729
  2376.200,    -0.012630
  2376.250,    -0.016665
  2376.300,    -0.026363
  2376.350,    -0.032560
  2376.400,    -0.045582
  2376.450,    -0.052937
  2376.500,    -0.064378
  2376.550,    -0.085564
  2376.600,    -0.125207
  2376.650,    -0.159736
  2376.700,    -0.195282
  2376.750,    -0.240470
  2376.800,    -0.290502
  2376.850,    -0.342656
  2376.900,    -0.390248
  2376.950,    -0.417528
  2377.000,    -0.423592
  2377.050,    -0.408188
  2377.100,    -0.341047
  2377.150,    -0.224959
  2377.200,    -0.036893
  2377.250,     0.194126
  2377.300,     0.470524
  2377.350,     0.761509
  2377.400,     1.044756
  2377.450,     1.274346
  2377.500,     1.425520
  2377.550,     1.481991
  2377.600,     1.435541
  2377.650,     1.303558
  2377.700,     1.098090
  2377.750,     0.863317
  2377.800,     0.631328
  2377.850,     0.410603
  2377.900,     0.217614
  2377.950,     0.060453
  2378.000,    -0.057125
  2378.050,    -0.146853
  2378.100,    -0.215162
  2378.150,    -0.249047
  2378.201,    -0.267496
  2378.251,    -0.277697
  2378.301,    -0.279176
  2378.351,    -0.269385
  2378.401,    -0.277992
  2378.451,    -0.267268
  2378.501,    -0.246058
  2378.551,    -0.229819
  2378.601,    -0.193644
  2378.651,    -0.150667
  2378.701,    -0.080136
  2378.751,    -0.002394
  2378.801,     0.083541
  2378.851,     0.167778
  2378.901,     0.226964
  2378.951,     0.246558
  2379.001,     0.228786
  2379.051,     0.164683
  2379.101,     0.082498
