Time_abs/ps, Signal/nA
  2370.000,     0.294624
  2370.050,     0.341453
  2370.100,     0.365952
  2370.150,     0.374761
  2370.200,     0.369108
  2370.250,     0.342764
  2370.300,     0.303158
  2370.350,     0.243354
  2370.400,     0.181730
  2370.450,     0.104685
  2370.500,     0.024295
  2370.550,    -0.059474
  2370.600,    -0.135641
  2370.650,    -0.213246
  2370.700,    -0.284802
  2370.750,    -0.352899
  2370.800,    -0.415290
  2370.850,    -0.468835
  2370.900,    -0.494878
  2370.950,    -0.520821
  2371.000,    -0.544259
  2371.050,    -0.547624
  2371.100,    -0.560753
  2371.150,    -0.558480
  2371.200,    -0.555596
  2371.250,    -0.535215
  2371.300,    -0.528876
  2371.350,    -0.518145
  2371.400,    -0.510317
  2371.450,    -0.507163
  2371.500,    -0.483419
  2371.550,    -0.471370
  2371.600,    -0.459166
  2371.650,    -0.448795
  2371.700,    -0.443810
  2371.750,    -0.433540
  2371.800,    -0.413705
  2371.850,    -0.403255
  2371.900,    -0.387991
  2371.950,    -0.376691
  2372.000,    -0.355522
  2372.050,    -0.339278
  2372.100,    -0.330551
  2372.150,    -0.307568
  2372.200,    -0.291212
  2372.250,    -0.281449
  2372.300,    -0.257988
  2372.350,    -0.243305
  2372.400,    -0.228504
  2372.450,    -0.213326
  2372.500,    -0.196986
  2372.550,    -0.188732
  2372.600,    -0.171037
  2372.650,    -0.155835
  2372.700,    -0.139639
  2372.750,    -0.120440
  2372.800,    -0.115858
  2372.850,    -0.108917
  2372.900,    -0.088725
  2372.950,    -0.074340
  2373.000,    -0.062934
  2373.050,    -0.041021
  2373.100,    -0.028544
  2373.150,    -0.018028
  2373.200,    -0.001016
  2373.250,     0.030231
  2373.300,     0.036886
  2373.350,     0.057914
  2373.400,     0.092074
  2373.450,     0.114956
  2373.500,     0.143396
  2373.550,     0.174765
  2373.600,     0.210062
  2373.650,     0.258036
  2373.700,     0.307649
  2373.750,     0.365276
  2373.800,     0.427586
  2373.850,     0.491195
  2373.900,     0.564161
  2373.950,     0.635561
  2374.000,     0.723011
  2374.050,     0.794205
  2374.100,     0.875084
  2374.150,     0.958636
  2374.200,     1.048553
  2374.250,     1.123735
  2374.300,     1.209464
  2374.350,     1.287540
  2374.400,     1.358281
  2374.450,     1.432600
  2374.500,     1.500037
  2374.550,     1.550543
  2374.600,     1.597530
  2374.650,     1.624276
  2374.700,     1.651102
  2374.750,     1.658117
  2374.800,     1.646182
  2374.850,     1.614283
  2374.900,     1.563321
  2374.950,     1.480848
  2375.000,     1.367602
  2375.050,     1.224518
  2375.100,     1.041192
  2375.150,     0.807732
  2375.200,     0.540600
  2375.250,     0.213973
  2375.300,    -0.160522
  2375.350,    -0.603174
  2375.400,    -1.101814
  2375.450,    -1.706523
  2375.500,    -2.377446
  2375.550,    -3.123551
  2375.600,    -3.956409
  2375.650,    -4.902905
  2375.700,    -5.940153
  2375.750,    -7.082642
  2375.800,    -8.343181
  2375.850,    -9.711882
